File,Feature
musicbox-api/app/channels/application_cable/channel.rb,Real-time Communication
musicbox-api/app/channels/application_cable/connection.rb,Real-time Communication
musicbox-api/app/channels/message_channel.rb,Message & Chat System
musicbox-api/app/channels/now_playing_channel.rb,Real-time Music Playback
musicbox-api/app/channels/pinned_messages_channel.rb,Message & Chat System
musicbox-api/app/channels/record_listens_channel.rb,Music Listening History
musicbox-api/app/channels/room_playlist_channel.rb,Playlist Management
musicbox-api/app/channels/team_channel.rb,Team Collaboration
musicbox-api/app/channels/users_channel.rb,User Authentication & Management
musicbox-api/app/controllers/application_controller.rb,GraphQL API
musicbox-api/app/controllers/graphql_controller.rb,GraphQL API
musicbox-api/app/graphql/musicbox_api_schema.rb,GraphQL API
musicbox-api/app/graphql/mutations.rb,GraphQL API
musicbox-api/app/graphql/mutations/base_mutation.rb,GraphQL API
musicbox-api/app/graphql/mutations/invitation_accept.rb,User Invitation System
musicbox-api/app/graphql/mutations/invitation_create.rb,User Invitation System
musicbox-api/app/graphql/mutations/library_record_delete.rb,User Music Library
musicbox-api/app/graphql/mutations/message_create.rb,Message & Chat System
musicbox-api/app/graphql/mutations/message_pin.rb,Message & Chat System
musicbox-api/app/graphql/mutations/password_reset_complete.rb,Password Reset System
musicbox-api/app/graphql/mutations/password_reset_initiate.rb,Password Reset System
musicbox-api/app/graphql/mutations/recommendation_accept.rb,Music Recommendation
musicbox-api/app/graphql/mutations/recommendation_create.rb,Music Recommendation
musicbox-api/app/graphql/mutations/record_listen_create.rb,Music Listening History
musicbox-api/app/graphql/mutations/room_activate.rb,Room Management
musicbox-api/app/graphql/mutations/room_create.rb,Room Management
musicbox-api/app/graphql/mutations/room_playlist_record_abandon.rb,Playlist Management
musicbox-api/app/graphql/mutations/room_playlist_record_delete.rb,Playlist Management
musicbox-api/app/graphql/mutations/room_playlist_records_add.rb,Playlist Management
musicbox-api/app/graphql/mutations/room_playlist_records_reorder.rb,Playlist Management
musicbox-api/app/graphql/mutations/song_create.rb,Song Library
musicbox-api/app/graphql/mutations/tag_create.rb,Music Tagging
musicbox-api/app/graphql/mutations/tag_toggle.rb,Music Tagging
musicbox-api/app/graphql/mutations/team_activate.rb,Team Collaboration
musicbox-api/app/graphql/mutations/team_create.rb,Team Collaboration
musicbox-api/app/graphql/mutations/user_password_update.rb,User Authentication & Management
musicbox-api/app/graphql/mutations/user_update.rb,User Authentication & Management
musicbox-api/app/graphql/types.rb,GraphQL API
musicbox-api/app/graphql/types/base_enum.rb,GraphQL API
musicbox-api/app/graphql/types/base_input_object.rb,GraphQL API
musicbox-api/app/graphql/types/base_interface.rb,GraphQL API
musicbox-api/app/graphql/types/base_object.rb,GraphQL API
musicbox-api/app/graphql/types/base_scalar.rb,GraphQL API
musicbox-api/app/graphql/types/base_union.rb,GraphQL API
musicbox-api/app/graphql/types/date_time_type.rb,GraphQL API
musicbox-api/app/graphql/types/email_type.rb,GraphQL API
musicbox-api/app/graphql/types/invitation_type.rb,User Invitation System
musicbox-api/app/graphql/types/library_record_type.rb,User Music Library
musicbox-api/app/graphql/types/message_type.rb,Message & Chat System
musicbox-api/app/graphql/types/mutation_type.rb,GraphQL API
musicbox-api/app/graphql/types/order_type.rb,GraphQL API
musicbox-api/app/graphql/types/ordered_direction_type.rb,GraphQL API
musicbox-api/app/graphql/types/ordered_field_type.rb,GraphQL API
musicbox-api/app/graphql/types/query_type.rb,GraphQL API
musicbox-api/app/graphql/types/record_listen_type.rb,Music Listening History
musicbox-api/app/graphql/types/room_playlist_record_type.rb,Playlist Management
musicbox-api/app/graphql/types/room_type.rb,Room Management
musicbox-api/app/graphql/types/search_result_type.rb,Search Functionality
musicbox-api/app/graphql/types/song_type.rb,Song Library
musicbox-api/app/graphql/types/tag_type.rb,Music Tagging
musicbox-api/app/graphql/types/team_type.rb,Team Collaboration
musicbox-api/app/graphql/types/unwound_count_per_week_type.rb,Music Statistics
musicbox-api/app/graphql/types/unwound_count_type.rb,Music Statistics
musicbox-api/app/graphql/types/unwound_type.rb,Music Statistics
musicbox-api/app/graphql/types/user_type.rb,User Authentication & Management
musicbox-api/app/graphql/types/youtube_result_type.rb,YouTube Integration
musicbox-api/app/lib/musicbox_unwound.rb,Music Statistics
musicbox-api/app/lib/not_authenticated_error.rb,User Authentication & Management
musicbox-api/app/lib/room_playlist_generator.rb,Playlist Management
musicbox-api/app/lib/room_queue_poller.rb,Queue Management
musicbox-api/app/lib/selectors.rb,GraphQL API
musicbox-api/app/lib/selectors/library_records.rb,User Music Library
musicbox-api/app/lib/selectors/messages.rb,Message & Chat System
musicbox-api/app/lib/selectors/room_playlist_records.rb,Playlist Management
musicbox-api/app/lib/selectors/search_results.rb,Search Functionality
musicbox-api/app/lib/unwound.rb,Music Statistics
musicbox-api/app/lib/youtube_client.rb,YouTube Integration
musicbox-api/app/models/application_record.rb,GraphQL API
musicbox-api/app/models/invitation.rb,User Invitation System
